開放閩南語字典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［閩南語拼音］	［閩南語拼音 (數字調號)］
哧	哧	hiaⁿh	hiannh
頰	颊	hiap	hiap
拹	拹	hia̍p	hiap8
祫	祫	hia̍p	hiap8
袷	袷	hia̍p	hiap8
勰	勰	hia̍p	hiap8
協	协	hia̍p	hiap8
俠	侠	hia̍p	hiap8
陜	陜	hia̍p	hiap8
脅	胁	hia̍p	hiap8
洽	洽	hia̍p	hiap8
挾	挟	hia̍p	hiap8
陝	陕	hia̍p	hiap8
硤	硖	hia̍p	hiap8
烚	烚	hia̍p	hiap8
熁	熁	hia̍p	hiap8
劦	劦	hia̍p	hiap8
峽	峡	hia̍p	hiap8
愶	愶	hia̍p	hiap8
浹	浃	hia̍p	hiap8
狹	狭	hia̍p	hiap8
血	血	hiat	hiat
棄	弃	hiat	hiat
瞲	瞲	hiat	hiat
歇	歇	hiat	hiat
絜	絜	hiat	hiat
泬	泬	hiat	hiat
猲	猲	hiat	hiat
絜	絜	hia̍t	hiat8
穴	穴	hia̍t	hiat8
泬	泬	hia̍t	hiat8
獢	獢	hiau	hiau
梟	枭	hiau	hiau
憿	憿	hiau	hiau
嬝	嬝	hiau	hiau
嘵	哓	hiau	hiau
徼	徼	hiau	hiau
僥	侥	hiau	hiau
驍	骁	hiau	hiau
歊	歊	hiau	hiau
澆	浇	hiau	hiau
邀	邀	hiau	hiau
儌	儌	hiau	hiau
呺	呺	hiau	hiau
撬	撬	hiau	hiau
囂	嚣	hiau	hiau
鴞	鸮	hiau	hiau
獥	獥	hiau	hiau
枵	枵	hiau	hiau
曉	晓	hiáu	hiau2
膮	膮	hiáu	hiau2
膮	膮	hiâu	hiau5
唲	唲	hih	hih
廞	廞	him	him
歆	歆	him	him
炘	炘	him	him
盺	盺	him	him
忻	忻	him	him
焮	焮	him	him
欣	欣	him	him
忺	忺	him	him
訢	䜣	him	him
昕	昕	him	him
焮	焮	hìm	him3
熊	熊	hîm	him5
雄	雄	hîn	hin
眩	眩	hîn	hin
譆	譆	hiⁿ	hinn
絃	絃	hîⁿ	hinn5
硯	砚	hīⁿ	hinn7
耳	耳	hīⁿ	hinn7
欷	欷	hiⁿh	hinnh
歇	歇	hioh	hioh
息	息	hioh	hioh
鴞	鸮	hio̍h	hioh8
葉	叶	hio̍h	hioh8
蓄	蓄	hiok	hiok
隩	隩	hiok	hiok
旭	旭	hiok	hiok
彧	彧	hiok	hiok
慉	慉	hiok	hiok
奧	奥	hiok	hiok
燠	燠	hiok	hiok
勖	勖	hiok	hiok
澳	澳	hiok	hiok
頊	顼	hiok	hiok
畜	畜	hiok	hiok
薁	薁	hiok	hiok
謔	谑	hiok	hiok
噢	噢	hiok	hiok
懊	懊	hiok	hiok
郁	郁	hiok	hiok
勗	勗	hio̍k	hiok8
恟	恟	hiong	hiong
薌	芗	hiong	hiong
洶	汹	hiong	hiong
馨	馨	hiong	hiong
雄	雄	hiong	hiong
兇	凶	hiong	hiong
香	香	hiong	hiong
匈	匈	hiong	hiong
胸	胸	hiong	hiong
鄉	乡	hiong	hiong
膷	膷	hiong	hiong
凶	凶	hiong	hiong
享	享	hióng	hiong2
亨	亨	hióng	hiong2
饗	飨	hióng	hiong2
蠁	蠁	hióng	hiong2
鄉	乡	hióng	hiong2
響	响	hióng	hiong2
曏	向	hióng	hiong2
烹	烹	hióng	hiong2
鄉	乡	hiòng	hiong3
羌	羌	hiòng	hiong3
晌	晌	hiòng	hiong3
向	向	hiòng	hiong3
嚮	向	hiòng	hiong3
曏	向	hiòng	hiong3
餉	饷	hiòng	hiong3
顒	颙	hiông	hiong5
熊	熊	hiông	hiong5
雄	雄	hiông	hiong5
融	融	hiông	hiong5
翕	翕	hip	hip
潝	潝	hip	hip
歙	歙	hip	hip
闟	闟	hip	hip
磁	磁	hip	hip
瞲	瞲	hit	hit
彼	彼	hit	hit
貅	貅	hiu	hiu
咻	咻	hiu	hiu
幽	幽	hiu	hiu
休	休	hiu	hiu
庥	庥	hiu	hiu
嗅	嗅	hiu	hiu
茠	茠	hiu	hiu
髹	髹	hiu	hiu
烋	烋	hiu	hiu
鵂	鸺	hiu	hiu
臭	臭	hiu	hiu
朽	朽	hiú	hiu2
缶	缶	hiú	hiu2
溴	溴	hiù	hiu3
灑	洒	hiù	hiu3
復	复	hiù	hiu3
糗	糗	hiù	hiu3
裘	裘	hiû	hiu5
緮	緮	hiū	hiu7
香	香	hiuⁿ	hiunn
鄉	乡	hiuⁿ	hiunn
響	响	hiúⁿ	hiunn2
撼	撼	hḿ	hm2
媒	媒	hm̂	hm5
茅	茅	hm̂	hm5
坊	坊	hng	hng
方	方	hng	hng
荒	荒	hng	hng
昏	昏	hng	hng
園	园	hn̂g	hng5
黃	黄	hn̂g	hng5
何	何	hn̂g	hng5
遠	远	hn̄g	hng7
圂	圂	hn̄g	hng7
號	号	ho	ho
熇	熇	ho	ho
荷	荷	ho	ho
薅	薅	ho	ho
歑	歑	ho	ho
扷	扷	ho	ho
蒿	蒿	ho	ho
夥	夥	hó	ho2
杲	杲	hó	ho2
皜	皜	hó	ho2
輠	輠	hó	ho2
火	火	hó	ho2
好	好	hó	ho2
盉	盉	hô	ho5
勞	劳	hô	ho5
遐	遐	hô	ho5
嚎	嚎	hô	ho5
餱	糇	hô	ho5
何	何	hô	ho5
蠔	蠔	hô	ho5
唬	唬	hô	ho5
禾	禾	hô	ho5
魺	鲄	hô	ho5
和	和	hô	ho5
瑚	瑚	hô	ho5
濠	濠	hô	ho5
候	候	hô	ho5
諕	諕	hô	ho5
號	号	hô	ho5
皋	皋	hô	ho5
蚵	蚵	hô	ho5
毫	毫	hô	ho5
豪	豪	hô	ho5
譹	譹	hô	ho5
僗	僗	hô	ho5
檺	檺	hô	ho5
呺	呺	hô	ho5
河	河	hô	ho5
龢	龢	hô	ho5
荷	荷	hô	ho5
壕	壕	hô	ho5
鄗	鄗	hō	ho7
悎	悎	hō	ho7
候	候	hō	ho7
皞	皞	hō	ho7
皋	皋	hō	ho7
灝	灏	hō	ho7
滈	滈	hō	ho7
和	和	hō	ho7
何	何	hō	ho7
賀	贺	hō	ho7
禍	祸	hō	ho7
皓	皓	hō	ho7
擭	擭	hō	ho7
呺	呺	hō	ho7
暠	暠	hō	ho7
昊	昊	hō	ho7
鎬	镐	hō	ho7
顥	颢	hō	ho7
號	号	hō	ho7
浩	浩	hō	ho7
釫	釫	hoa	hoa
樺	桦	hoa	hoa
鏵	铧	hoa	hoa
花	花	hoa	hoa
譁	譁	hoa	hoa
華	华	hoa	hoa
嘩	哗	hoa	hoa
踝	踝	hóa	hoa2
觟	觟	hóa	hoa2
華	华	hòa	hoa3
化	化	hòa	hoa3
齔	龀	hòa	hoa3
樺	桦	hôa	hoa5
鏵	铧	hôa	hoa5
釫	釫	hôa	hoa5
花	花	hôa	hoa5
華	华	hôa	hoa5
按	按	hôa	hoa5
驊	骅	hôa	hoa5
划	划	hôa	hoa5
找	找	hôa	hoa5
崋	崋	hōa	hoa7
擭	擭	hōa	hoa7
畫	画	hōa	hoa7
話	话	hōa	hoa7
挂	挂	hōa	hoa7
繣	繣	hōa	hoa7
喝	喝	hoah	hoah
跨	跨	ho̍ah	hoah8
限	限	ho̍ah	hoah8
跬	跬	ho̍ah	hoah8
聵	聩	hòai	hoai3
懷	怀	hôai	hoai5
頦	颏	hôai	hoai5
淮	淮	hôai	hoai5
蘹	蘹	hôai	hoai5
褱	褱	hôai	hoai5
褢	褢	hôai	hoai5
槐	槐	hôai	hoai5
壞	坏	hōai	hoai7
橫	横	hôaiⁿ	hoainn5
桁	桁	hôaiⁿ	hoainn5
驩	驩	hoan	hoan1
嚾	嚾	hoan	hoan1
翻	翻	hoan	hoan1
拚	拚	hoan	hoan1
繙	繙	hoan	hoan1
讙	讙	hoan	hoan1
藩	藩	hoan	hoan1
幡	幡	hoan	hoan1
番	番	hoan	hoan1
燔	燔	hoan	hoan1
旛	旛	hoan	hoan1
咺	咺	hoan	hoan1
墦	墦	hoan	hoan1
璠	璠	hoan	hoan1
旋	旋	hoan	hoan1
獾	獾	hoan	hoan1
轓	轓	hoan	hoan1
歡	欢	hoan	hoan1
吩	吩	hoan	hoan1
膰	膰	hoan	hoan1
鐇	鐇	hoan	hoan1
懽	懽	hoan	hoan1
飯	饭	hóan	hoan2
返	返	hóan	hoan2
阪	坂	hóan	hoan2
反	反	hóan	hoan2
氾	氾	hòan	hoan3
奐	奂	hòan	hoan3
瑍	瑍	hòan	hoan3
泛	泛	hòan	hoan3
楥	楥	hòan	hoan3
換	换	hòan	hoan3
幻	幻	hòan	hoan3
汎	汎	hòan	hoan3
煥	焕	hòan	hoan3
畈	畈	hòan	hoan3
販	贩	hòan	hoan3
渙	涣	hòan	hoan3
楦	楦	hòan	hoan3
喚	唤	hòan	hoan3
渢	渢	hòan	hoan3
環	环	hôan	hoan5
繁	繁	hôan	hoan5
圜	圜	hôan	hoan5
瀿	瀿	hôan	hoan5
薠	薠	hôan	hoan5
蟠	蟠	hôan	hoan5
鐶	镮	hôan	hoan5
峘	峘	hôan	hoan5
紈	纨	hôan	hoan5
鍰	锾	hôan	hoan5
藩	藩	hôan	hoan5
笲	笲	hôan	hoan5
闤	阛	hôan	hoan5
垣	垣	hôan	hoan5
團	团	hôan	hoan5
荁	荁	hôan	hoan5
儇	儇	hôan	hoan5
膰	膰	hôan	hoan5
寰	寰	hôan	hoan5
翾	翾	hôan	hoan5
凡	凡	hôan	hoan5
貆	貆	hôan	hoan5
椕	椕	hôan	hoan5
杋	杋	hôan	hoan5
瓛	瓛	hôan	hoan5
燔	燔	hôan	hoan5
籓	籓	hôan	hoan5
芄	芄	hôan	hoan5
轘	轘	hôan	hoan5
蘩	蘩	hôan	hoan5
璠	璠	hôan	hoan5
汍	汍	hôan	hoan5
桓	桓	hôan	hoan5
蠉	蠉	hôan	hoan5
羳	羳	hôan	hoan5
還	还	hôan	hoan5
蹯	蹯	hôan	hoan5
蠜	蠜	hôan	hoan5
礬	矾	hôan	hoan5
洹	洹	hôan	hoan5
樊	樊	hôan	hoan5
郇	郇	hôan	hoan5
蝝	蝝	hôan	hoan5
丸	丸	hôan	hoan5
梵	梵	hôan	hoan5
蕃	蕃	hôan	hoan5
煩	烦	hôan	hoan5
鬟	鬟	hôan	hoan5
墦	墦	hôan	hoan5
擐	擐	hōan	hoan7
患	患	hōan	hoan7
軓	軓	hōan	hoan7
范	范	hōan	hoan7
豢	豢	hōan	hoan7
飯	饭	hōan	hoan7
範	范	hōan	hoan7
繯	缳	hōan	hoan7
覂	覂	hōan	hoan7
宦	宦	hōan	hoan7
嬔	嬔	hōan	hoan7
輐	輐	hōan	hoan7
犯	犯	hōan	hoan7
換	换	hōan	hoan7
圂	圂	hōan	hoan7
還	还	hōan	hoan7
鈁	钫	hóang	hoang2
懽	懽	hoaⁿ	hoann
歡	欢	hoaⁿ	hoann
撋	撋	hóaⁿ	hoann2
旦	旦	hòaⁿ	hoann3
泛	泛	hòaⁿ	hoann3
鼾	鼾	hôaⁿ	hoann5
按	按	hōaⁿ	hoann7
岸	岸	hōaⁿ	hoann7
畔	畔	hōaⁿ	hoann7
發	发	hoat	hoat
髮	发	hoat	hoat
濊	濊	hoat	hoat
狘	狘	hoat	hoat
佸	佸	hoat	hoat
琺	珐	hoat	hoat
沷	沷	hoat	hoat
法	法	hoat	hoat
乏	乏	ho̍at	hoat8
疺	疺	ho̍at	hoat8
活	活	ho̍at	hoat8
罰	罚	ho̍at	hoat8
閥	阀	ho̍at	hoat8
筏	筏	ho̍at	hoat8
瞂	瞂	ho̍at	hoat8
茷	茷	ho̍at	hoat8
伐	伐	ho̍at	hoat8
灰	灰	hoe	hoe
虺	虺	hoe	hoe
豗	豗	hoe	hoe
須	须	hoe	hoe
隳	隳	hoe	hoe
花	花	hoe	hoe
蘤	蘤	hoe	hoe
燘	燘	hóe	hoe2
悔	悔	hóe	hoe2
瘣	瘣	hóe	hoe2
賄	贿	hóe	hoe2
秏	秏	hòe	hoe3
痗	痗	hòe	hoe3
誨	诲	hòe	hoe3
癈	癈	hòe	hoe3
晦	晦	hòe	hoe3
悔	悔	hòe	hoe3
廢	废	hòe	hoe3
嬇	嬇	hòe	hoe3
聵	聩	hòe	hoe3
潰	溃	hòe	hoe3
沫	沫	hòe	hoe3
化	化	hòe	hoe3
徊	徊	hôe	hoe5
洄	洄	hôe	hoe5
瘣	瘣	hôe	hoe5
匯	汇	hôe	hoe5
茴	茴	hôe	hoe5
痐	痐	hôe	hoe5
蛔	蛔	hôe	hoe5
回	回	hôe	hoe5
瑰	瑰	hôe	hoe5
恛	恛	hôe	hoe5
迴	回	hôe	hoe5
闠	阓	hōe	hoe7
潰	溃	hōe	hoe7
瞶	瞆	hōe	hoe7
會	会	hōe	hoe7
繪	绘	hōe	hoe7
徻	徻	hōe	hoe7
薈	荟	hōe	hoe7
憒	愦	hōe	hoe7
蟹	蟹	hōe	hoe7
熇	熇	hoh	hoh
鶴	鹤	ho̍h	hoh8
檴	檴	hok	hok
蝠	蝠	hok	hok
熇	熇	hok	hok
洫	洫	hok	hok
福	福	hok	hok
擭	擭	hok	hok
蝮	蝮	hok	hok
幅	幅	hok	hok
葍	葍	hok	hok
郝	郝	hok	hok
縠	縠	hok	hok
覆	复	hok	hok
複	复	hok	hok
壑	壑	hok	hok
復	复	hok	hok
馥	馥	hok	hok
濩	濩	hok	hok
焀	焀	hok	hok
藿	藿	hok	hok
輻	辐	hok	hok
攉	攉	hok	hok
腹	腹	hok	hok
臛	臛	hok	hok
輹	輹	hok	hok
霍	霍	hok	hok
涸	涸	hok	hok
复	复	hok	hok
嗃	嗃	hok	hok
澓	澓	hok	hok
鶴	鹤	ho̍k	hok8
袱	袱	ho̍k	hok8
複	复	ho̍k	hok8
洑	洑	ho̍k	hok8
宓	宓	ho̍k	hok8
副	副	ho̍k	hok8
鰒	鳆	ho̍k	hok8
箙	箙	ho̍k	hok8
虙	虙	ho̍k	hok8
服	服	ho̍k	hok8
護	护	ho̍k	hok8
菔	菔	ho̍k	hok8
澓	澓	ho̍k	hok8
復	复	ho̍k	hok8
佫	佫	ho̍k	hok8
茯	茯	ho̍k	hok8
伏	伏	ho̍k	hok8
貉	貉	ho̍k	hok8
峰	峰	hong	hong
葑	葑	hong	hong
鍧	鍧	hong	hong
瓬	瓬	hong	hong
韸	韸	hong	hong
鈁	钫	hong	hong
梵	梵	hong	hong
犎	犎	hong	hong
枋	枋	hong	hong
謊	谎	hong	hong
烘	烘	hong	hong
封	封	hong	hong
邡	邡	hong	hong
偑	偑	hong	hong
風	风	hong	hong
荒	荒	hong	hong
肓	肓	hong	hong
渢	渢	hong	hong
雱	雱	hong	hong
瘋	疯	hong	hong
灃	沣	hong	hong
魴	鲂	hong	hong
崶	崶	hong	hong
揈	揈	hong	hong
鎤	鎤	hong	hong
坊	坊	hong	hong
酆	酆	hong	hong
芳	芳	hong	hong
烽	烽	hong	hong
慌	慌	hong	hong
舫	舫	hong	hong
方	方	hong	hong
豐	丰	hong	hong
衁	衁	hong	hong
肪	肪	hong	hong
匚	匚	hong	hong
哅	哅	hong	hong
楓	枫	hong	hong
鋒	锋	hong	hong
妦	妦	hong	hong
蜂	蜂	hong	hong
檒	檒	hong	hong
熀	熀	hóng	hong2
唪	唪	hóng	hong2
俸	俸	hóng	hong2
況	况	hóng	hong2
晃	晃	hóng	hong2
風	风	hóng	hong2
捧	捧	hóng	hong2
昉	昉	hóng	hong2
邡	邡	hóng	hong2
幌	幌	hóng	hong2
舫	舫	hóng	hong2
仿	仿	hóng	hong2
哄	哄	hóng	hong2
榥	榥	hóng	hong2
鎤	鎤	hóng	hong2
紡	纺	hóng	hong2
嗊	唝	hóng	hong2
怳	怳	hóng	hong2
髣	髣	hóng	hong2
諷	讽	hóng	hong2
汞	汞	hóng	hong2
滉	滉	hóng	hong2
放	放	hóng	hong2
訪	访	hóng	hong2
澒	澒	hóng	hong2
潢	潢	hóng	hong2
謊	谎	hóng	hong2
貺	贶	hóng	hong2
彷	彷	hóng	hong2
倣	倣	hóng	hong2
恍	恍	hóng	hong2
況	况	hòng	hong3
放	放	hòng	hong3
嗊	唝	hòng	hong3
貺	贶	hòng	hong3
潢	潢	hông	hong5
洪	洪	hông	hong5
鰉	鳇	hông	hong5
竑	竑	hông	hong5
訌	讧	hông	hong5
餭	餭	hông	hong5
堭	堭	hông	hong5
捧	捧	hông	hong5
偟	偟	hông	hong5
翃	翃	hông	hong5
崲	崲	hông	hong5
艎	艎	hông	hong5
頏	颃	hông	hong5
紘	纮	hông	hong5
宏	宏	hông	hong5
黃	黄	hông	hong5
鍠	锽	hông	hong5
喤	喤	hông	hong5
吰	吰	hông	hong5
篊	篊	hông	hong5
泓	泓	hông	hong5
虹	虹	hông	hong5
鞃	鞃	hông	hong5
弘	弘	hông	hong5
夆	夆	hông	hong5
蝗	蝗	hông	hong5
篁	篁	hông	hong5
蟥	蟥	hông	hong5
湟	湟	hông	hong5
黌	黉	hông	hong5
葒	荭	hông	hong5
髼	髼	hông	hong5
杭	杭	hông	hong5
桁	桁	hông	hong5
篷	篷	hông	hong5
耾	耾	hông	hong5
鴻	鸿	hông	hong5
洚	洚	hông	hong5
降	降	hông	hong5
璜	璜	hông	hong5
迒	迒	hông	hong5
摓	摓	hông	hong5
灴	灴	hông	hong5
妨	妨	hông	hong5
媓	媓	hông	hong5
趪	趪	hông	hong5
晃	晃	hông	hong5
紅	红	hông	hong5
簧	簧	hông	hong5
渢	渢	hông	hong5
仜	仜	hông	hong5
礦	矿	hông	hong5
航	航	hông	hong5
渹	渹	hông	hong5
馮	冯	hông	hong5
縫	缝	hông	hong5
皇	皇	hông	hong5
遑	遑	hông	hong5
芃	芃	hông	hong5
磺	磺	hông	hong5
隍	隍	hông	hong5
防	防	hông	hong5
颿	颿	hông	hong5
凰	凰	hông	hong5
逢	逢	hông	hong5
煌	煌	hông	hong5
菶	菶	hông	hong5
吭	吭	hông	hong5
蓬	蓬	hông	hong5
惶	惶	hông	hong5
舡	舡	hông	hong5
閎	闳	hông	hong5
徨	徨	hông	hong5
俸	俸	hōng	hong7
澒	澒	hōng	hong7
賵	赗	hōng	hong7
汞	汞	hōng	hong7
捧	捧	hōng	hong7
烘	烘	hōng	hong7
鳳	凤	hōng	hong7
縫	缝	hōng	hong7
港	港	hōng	hong7
哄	哄	hōng	hong7
覂	覂	hōng	hong7
奉	奉	hōng	hong7
幠	幠	ho·	hou
鴮	鴮	ho·	hou
呼	呼	ho·	hou
戲	戏	ho·	hou
滹	滹	ho·	hou
謼	謼	ho·	hou
呴	呴	ho·	hou
虍	虍	ho·	hou
憮	怃	ho·	hou
膴	膴	ho·	hou
虖	虖	ho·	hou
吼	吼	hó·	hou2
缶	缶	hó·	hou2
圮	圮	hó·	hou2
虎	虎	hó·	hou2
滸	浒	hó·	hou2
許	许	hó·	hou2
否	否	hó·	hou2
琥	琥	hó·	hou2
放	放	hò·	hou3
呼	呼	hò·	hou3
互	互	hò·	hou3
厚	厚	hò·	hou3
戽	戽	hò·	hou3
乎	乎	hô·	hou5
胡	胡	hô·	hou5
狐	狐	hô·	hou5
猴	猴	hô·	hou5
猢	猢	hô·	hou5
篌	篌	hô·	hou5
瑚	瑚	hô·	hou5
瓠	瓠	hô·	hou5
浮	浮	hô·	hou5
涪	涪	hô·	hou5
芣	芣	hô·	hou5
壺	壶	hô·	hou5
葫	葫	hô·	hou5
鯸	鯸	hô·	hou5
罘	罘	hô·	hou5
衚	胡	hô·	hou5
糊	糊	hô·	hou5
楜	楜	hô·	hou5
烰	烰	hô·	hou5
桴	桴	hô·	hou5
鶘	鹕	hô·	hou5
鄇	鄇	hô·	hou5
湖	湖	hô·	hou5
弧	弧	hô·	hou5
鬍	胡	hô·	hou5
蜉	蜉	hô·	hou5
餱	糇	hô·	hou5
喉	喉	hô·	hou5
蝴	蝴	hô·	hou5
鍭	鍭	hô·	hou5
莩	莩	hô·	hou5
侯	侯	hô·	hou5
餬	餬	hô·	hou5
槴	槴	hō·	hou7
穫	获	hō·	hou7
檴	檴	hō·	hou7
后	后	hō·	hou7
互	互	hō·	hou7
枑	枑	hō·	hou7
沍	沍	hō·	hou7
蠖	蠖	hō·	hou7
戶	户	hō·	hou7
矱	矱	hō·	hou7
岵	岵	hō·	hou7
僱	僱	hō·	hou7
怙	怙	hō·	hou7
祜	祜	hō·	hou7
雘	雘	hō·	hou7
雨	雨	hō·	hou7
詬	诟	hō·	hou7
芐	芐	hō·	hou7
嫮	嫮	hō·	hou7
冱	冱	hō·	hou7
鑊	镬	hō·	hou7
滬	沪	hō·	hou7
侯	侯	hō·	hou7
堠	堠	hō·	hou7
嫭	嫭	hō·	hou7
扈	扈	hō·	hou7
與	与	hō·	hou7
厚	厚	hō·	hou7
後	后	hō·	hou7
楛	楛	hō·	hou7
雇	雇	hō·	hou7
濩	濩	hō·	hou7
逅	逅	hō·	hou7
護	护	hō·	hou7
郈	郈	hō·	hou7
鄠	鄠	hō·	hou7
好	好	hó·ⁿ	hounn2
夥	夥	hó·ⁿ	hounn2
火	火	hó·ⁿ	hounn2
秏	秏	hò·ⁿ	hounn3
好	好	hò·ⁿ	hounn3
耗	耗	hò·ⁿ	hounn3
貨	货	hò·ⁿ	hounn3
歔	歔	hu	hu
罘	罘	hu	hu
呴	呴	hu	hu
琈	琈	hu	hu
灰	灰	hu	hu
郛	郛	hu	hu
麩	麸	hu	hu
欨	欨	hu	hu
噓	嘘	hu	hu
夫	夫	hu	hu
虛	虚	hu	hu
罦	罦	hu	hu
柎	柎	hu	hu
鈇	鈇	hu	hu
枎	枎	hu	hu
孚	孚	hu	hu
衭	衭	hu	hu
稃	稃	hu	hu
泭	泭	hu	hu
糐	糐	hu	hu
跗	跗	hu	hu
砆	砆	hu	hu
俘	俘	hu	hu
趺	趺	hu	hu
紑	紑	hu	hu
憮	怃	hu	hu
墟	墟	hu	hu
冔	冔	hu	hu
枹	枹	hu	hu
桴	桴	hu	hu
敷	敷	hu	hu
莩	莩	hu	hu
鄜	鄜	hu	hu
痡	痡	hu	hu
膚	肤	hu	hu
蜅	蜅	hú	hu2
許	许	hú	hu2
詡	诩	hú	hu2
踽	踽	hú	hu2
珝	珝	hú	hu2
釜	釜	hú	hu2
莆	莆	hú	hu2
父	父	hú	hu2
拊	拊	hú	hu2
輔	辅	hú	hu2
姁	姁	hú	hu2
俯	俯	hú	hu2
痡	痡	hú	hu2
栩	栩	hú	hu2
黼	黼	hú	hu2
俛	俛	hú	hu2
昫	昫	hú	hu2
腑	腑	hú	hu2
簠	簠	hú	hu2
喣	喣	hú	hu2
脯	脯	hú	hu2
煦	煦	hú	hu2
怤	怤	hú	hu2
甫	甫	hú	hu2
呴	呴	hú	hu2
腐	腐	hú	hu2
府	府	hú	hu2
頫	頫	hú	hu2
訏	訏	hú	hu2
撫	抚	hú	hu2
冔	冔	hú	hu2
斧	斧	hú	hu2
酠	酠	hù	hu3
付	付	hù	hu3
弣	弣	hù	hu3
富	富	hù	hu3
附	附	hù	hu3
咐	咐	hù	hu3
赴	赴	hù	hu3
副	副	hù	hu3
賻	赙	hù	hu3
訃	讣	hù	hu3
傅	傅	hù	hu3
輔	辅	hù	hu3
覆	复	hù	hu3
賦	赋	hù	hu3
祔	祔	hù	hu3
怀	怀	hù	hu3
枎	枎	hù	hu3
仆	仆	hù	hu3
怤	怤	hù	hu3
夫	夫	hû	hu5
咐	咐	hû	hu5
枹	枹	hû	hu5
鳧	凫	hû	hu5
芙	芙	hû	hu5
蚨	蚨	hû	hu5
榑	榑	hû	hu5
涪	涪	hû	hu5
衭	衭	hû	hu5
符	符	hû	hu5
苻	苻	hû	hu5
扶	扶	hû	hu5
紑	紑	hû	hu5
鮒	鲋	hū	hu7
負	负	hū	hu7
附	附	hū	hu7
柎	柎	hū	hu7
腐	腐	hū	hu7
婦	妇	hū	hu7
虙	虙	hū	hu7
阜	阜	hū	hu7
傅	傅	hū	hu7
伏	伏	hū	hu7
偩	偩	hū	hu7
駙	驸	hū	hu7
蚹	蚹	hū	hu7
父	父	hū	hu7
祔	祔	hū	hu7
跗	跗	hū	hu7
賻	赙	hū	hu7
楎	楎	hui	hui
禈	禈	hui	hui
煇	煇	hui	hui
匪	匪	hui	hui
扉	扉	hui	hui
婓	婓	hui	hui
麾	麾	hui	hui
撝	㧑	hui	hui
翬	翬	hui	hui
緋	绯	hui	hui
倠	倠	hui	hui
騑	騑	hui	hui
徽	徽	hui	hui
妃	妃	hui	hui
非	非	hui	hui
菲	菲	hui	hui
暉	晖	hui	hui
裶	裶	hui	hui
霏	霏	hui	hui
輝	辉	hui	hui
飛	飞	hui	hui
鰴	鰴	hui	hui
蜚	蜚	hui	hui
馡	馡	hui	hui
斐	斐	hui	hui
虫	虫	húi	hui2
斐	斐	húi	hui2
馡	馡	húi	hui2
俷	俷	húi	hui2
榧	榧	húi	hui2
蜰	蜰	húi	hui2
悱	悱	húi	hui2
菲	菲	húi	hui2
虺	虺	húi	hui2
棐	棐	húi	hui2
蜚	蜚	húi	hui2
毀	毁	húi	hui2
芔	芔	húi	hui2
篚	篚	húi	hui2
燬	燬	húi	hui2
匪	匪	húi	hui2
譭	譭	húi	hui2
翡	翡	húi	hui2
誹	诽	húi	hui2
朏	朏	húi	hui2
卉	卉	húi	hui2
烜	烜	húi	hui2
怫	怫	hùi	hui3
芔	芔	hùi	hui3
翽	翽	hùi	hui3
厞	厞	hùi	hui3
嬇	嬇	hùi	hui3
費	费	hùi	hui3
沸	沸	hùi	hui3
繢	缋	hùi	hui3
蟦	蟦	hùi	hui3
肺	肺	hùi	hui3
剕	剕	hùi	hui3
疿	疿	hùi	hui3
諱	讳	hùi	hui3
侐	侐	hùi	hui3
狒	狒	hùi	hui3
痱	痱	hùi	hui3
潰	溃	hùi	hui3
翡	翡	hùi	hui3
芾	芾	hùi	hui3
卉	卉	hùi	hui3
賁	贲	hùi	hui3
痱	痱	hûi	hui5
婓	婓	hûi	hui5
磁	磁	hûi	hui5
肥	肥	hûi	hui5
淝	淝	hûi	hui5
蜰	蜰	hûi	hui5
腓	腓	hûi	hui5
篲	篲	hūi	hui7
茷	茷	hūi	hui7
蕙	蕙	hūi	hui7
彗	彗	hūi	hui7
吠	吠	hūi	hui7
惠	惠	hūi	hui7
槥	槥	hūi	hui7
慧	慧	hūi	hui7
卉	卉	hūi	hui7
繐	繐	hūi	hui7
橞	橞	hūi	hui7
譓	譓	hūi	hui7
蟪	蟪	hūi	hui7
嘒	嘒	hūi	hui7
憓	憓	hūi	hui7
緯	纬	hūi	hui7
喙	喙	hūi	hui7
譿	譿	hūi	hui7
恚	恚	hūi	hui7
血	血	huih	huih
曛	曛	hun	hun
緡	缗	hun	hun
獯	獯	hun	hun
吩	吩	hun	hun
棻	棻	hun	hun
坋	坋	hun	hun
衯	衯	hun	hun
痻	痻	hun	hun
纁	纁	hun	hun
湣	湣	hun	hun
揮	挥	hun	hun
燻	燻	hun	hun
焄	焄	hun	hun
昐	昐	hun	hun
鳻	鳻	hun	hun
壎	壎	hun	hun
鼢	鼢	hun	hun
閽	阍	hun	hun
紛	纷	hun	hun
煙	烟	hun	hun
惛	惛	hun	hun
涽	涽	hun	hun
睧	睧	hun	hun
份	份	hun	hun
饙	饙	hun	hun
醺	醺	hun	hun
芬	芬	hun	hun
塤	埙	hun	hun
鼲	鼲	hun	hun
汾	汾	hun	hun
葷	荤	hun	hun
氛	氛	hun	hun
雰	雰	hun	hun
梤	梤	hun	hun
婚	婚	hun	hun
伸	伸	hun	hun
